Status,Monday_item_id,Name,Firm,Current_Website,Proposed_Website,Domain,Notes,Checked_URLs,Email,Source_URL
DOMAIN_UNRESOLVED,13028367296,Victoria But,,,,,Sun East family-office investor (Campden FB / SEC comment letter); no dedicated public investment-entity homepage found — victoria-fo.com is unrelated Swiss FO.,https://campdenfb.com/article/victoria-next-gen-establishing-forward-thinking-family-governance-structure | https://www.sec.gov/comments/s7-23-19/s72319-207583.htm | https://victoria-fo.com/en/philosophy.html (wrong entity),,
WEBSITE_MAPPED,13103773472,Javier Barreiro,Arrebol,,https://arrebolcap.com/,arrebolcap.com,"Blank Website; Arrebol Capital seed VC (Colombia/LatAm). Team page lists Javier Barreiro as co-founder; no person-specific mailto on /team/.","https://arrebolcap.com/ | https://arrebolcap.com/team/",,
WEBSITE_OK,13114466566,Agustin De Luca,Lendable,https://lendable.io,,lendable.io,"HTTP 200 on apex; fintech lender/investor homepage. Intermittent 403 on some subpaths from bot checks — root OK.","https://lendable.io/ | https://lendable.io/about (captcha redirect)",,
WEBSITE_OK,13028369967,Aidan Madigan-Curtis,Eclipse Capital,https://eclipse.capital,,eclipse.capital,"Live Eclipse Capital (operators/VC) site; /team 200. Generic admin@eclipse.capital on team page only — not stamped.","https://eclipse.capital/ | https://eclipse.capital/team",,
WEBSITE_OK,13114444514,Alejandro Arenas,Community Investment Management (CIM),https://cim-llc.com,,cim-llc.com,"Community Investment Management homepage and /team 200; no Alejandro person mailto.","https://cim-llc.com/ | https://cim-llc.com/team",,
WEBSITE_OK,13028336649,Bill Driegert,Eclipse Capital,https://eclipse.capital,,eclipse.capital,"Same firm domain as other Eclipse seats; site live.","https://eclipse.capital/ | https://eclipse.capital/team",,
WEBSITE_OK,13028359226,Burak Cendek,Autotech Ventures,https://autotechvc.com,,autotechvc.com,"Apex 301→https://www.autotechvc.com/ (same entity); Squarespace mobility VC site 200.","https://autotechvc.com/ | https://www.autotechvc.com/ | https://www.autotechvc.com/team",,
WEBSITE_OK,13114460584,David García Acero,BBVA Spark,https://bbvaspark.com,,bbvaspark.com,"Domain redirects to www; 403 anti-bot from this environment but BBVA-branded block page — treated as live corporate VC domain.","https://bbvaspark.com/ | https://www.bbvaspark.com/ | https://www.bbvaspark.com/en/team/ (403)",,
WEBSITE_OK,13114433880,Eduardo González Montes de Oca,BBVA Spark,https://bbvaspark.com,,bbvaspark.com,"Same BBVA Spark domain as David García seat.","https://bbvaspark.com/ | https://www.bbvaspark.com/",,
WEBSITE_OK,13114467046,Edward Goldstein,i80 Group,https://i80group.com,,i80group.com,"Apex 301→https://www.i80group.com/ (same entity); homepage 200. Generic investments@/ir@ only — no Edward person mailto.","https://i80group.com/ | https://www.i80group.com/ | https://www.i80group.com/team/ (404)",,
WEBSITE_OK,13028336256,Greg Reichow,Eclipse Capital,https://eclipse.capital,,eclipse.capital,"Eclipse Capital site verified.","https://eclipse.capital/ | https://eclipse.capital/team",,
WEBSITE_OK,13114485032,Iñaki García Llorente,Lendable,https://lendable.io,,lendable.io,"Same lendable.io as Agustin seat; root HTTP 200.","https://lendable.io/",,
WEBSITE_OK,13114434007,Jacob Haar,Community Investment Management (CIM),https://cim-llc.com,,cim-llc.com,"CIM site and team page live.","https://cim-llc.com/ | https://cim-llc.com/team",,
WEBSITE_OK,13028371978,Jessica Diaz Nunez,IDB Invest,https://idbinvest.org,,idbinvest.org,"301 to /en; IDB Invest (multilateral investor) homepage 200.","https://idbinvest.org/ | https://idbinvest.org/en | https://idbinvest.org/en/who-we-are/leadership",,
WEBSITE_OK,13028336447,Kevin Bone,Lightrock,https://lightrock.com,,lightrock.com,"302→https://www.lightrock.com/ (same entity); impact/private equity firm 200.","https://lightrock.com/ | https://www.lightrock.com/ | https://www.lightrock.com/team",,
WEBSITE_OK,13028357441,Klaus Prebensen,Impact Fund Denmark,https://impactfund.dk,,impactfund.dk,"Danish state investment fund homepage 200; team path 404 but org domain OK. Generic contact@impactfund.dk on site — not stamped.","https://impactfund.dk/ | https://impactfund.dk/en/team/ (404)",,
WEBSITE_OK,12727972974,Kuehne+Nagel / Reefknot,Kuehne+Nagel / Reefknot,https://reefknotinvestments.com,,reefknotinvestments.com,"HEAD 406 but GET 200 with browser UA; Reefknot Investments logistics VC joint initiative.","https://reefknotinvestments.com/ | https://www.reefknotinvestments.com/",,
WEBSITE_CORRECTED,13028335946,Mauricio Rosillo,Grupo Bancolombia,https://bancolombia.com.co,https://www.grupobancolombia.com/,grupobancolombia.com,"Monday URL redirects to consumer www.bancolombia.com/personas; executive is VP Negocios on Grupo Bancolombia corporate site.","https://bancolombia.com.co/ | https://www.bancolombia.com/ (redirect) | https://www.grupobancolombia.com/es | https://www.grupobancolombia.com/corporate/corporate-governance/board-of-directors-and-senior-management/mauricio-rosillo-rojas",,
WEBSITE_OK,13028350024,Monica Salazar,IDB Invest,https://idbinvest.org,,idbinvest.org,"Same idbinvest.org as Jessica seat.","https://idbinvest.org/ | https://idbinvest.org/en",,
