Status,Monday_item_id,Name,Firm,Current_Website,Proposed_Website,Domain,Notes,Checked_URLs,Email,Source_URL
WEBSITE_CORRECTED,13100509893,Aquilino Peña,Kibo Ventures,https://kiboventures.com,https://www.kiboventures.com/,kiboventures.com,Live European VC platform; apex redirects to www. Team lists Aquilino Peña as Co-founder & Managing Partner; no person mailto on /team.,https://kiboventures.com -> https://www.kiboventures.com/ [200] | https://www.kiboventures.com/team [200],,
WEBSITE_OK,13028370676,Asia Agnelli,,https://www.tmv.vc/,https://www.tmv.vc/,tmv.vc,TMV (Trail Mix Ventures) live; seat aligns with Azzi/Asia Agnelli GP profile. Generic team@tmv.vc on team page only.,https://www.tmv.vc/ [200] | https://www.tmv.vc/team/azzi-agnelli [200],,
WEBSITE_CORRECTED,13028372799,Belkacem Hammoulhadj,,https://greenbull.com,https://www.greenbull.com/en,greenbull.com,Greenbull Group official site (M&A/venture deals arm); apex redirects to www. Contact form only on /en/contact — no person mailto.,https://greenbull.com -> https://www.greenbull.com/ [200] | https://www.greenbull.com/en [200],,
WEBSITE_CORRECTED,13028366580,Benjamin Radomski,,https://bevfamilyoffice.com,https://www.bevfamilyoffice.com/,bevfamilyoffice.com,BEV Family Office principal-investor site live. Homepage cites Benjamin Radomski; generic info@bevfamilyoffice.com only.,https://bevfamilyoffice.com -> https://www.bevfamilyoffice.com/ [200],,
DOMAIN_UNRESOLVED,13028359769,Bill Irvine,"Bill Irvine, CFA",https://carbonsul.com,,carbonsul.com,carbonsul.com returns HTTP 404 (www also 404). Sniff-test: CarbonSul is a separate chemical-manufacturing entity; cleantech angel Bill Irvine (Kara Water advisor) has no verified investment-entity homepage on this domain.,https://carbonsul.com FAIL 404 | https://www.carbonsul.com FAIL 404 | https://karawater.com [200 operator/advisor context only],,
WEBSITE_CORRECTED,13080769456,Blink VC,Blink VC,https://blink.vc,https://blinkimpact.com/,blink.vc,blink.vc root JS-redirects to /lander then GoDaddy for-sale. Live Blink Impact family-office / impact investor site is blinkimpact.com (Amsterdam).,https://blink.vc -> /lander [GoDaddy for-sale] | https://blinkimpact.com/ [200],,
WEBSITE_CORRECTED,13028399234,Brad Smith,"Brad Smith, CFA",https://centry.capital,https://www.centry.capital/,centry.capital,Centry Capital live; team page lists Brad Smith Co-Founder & CEO. Generic info@centry.capital only.,https://centry.capital -> https://www.centry.capital/ [200] | https://www.centry.capital/team/ [200],,
WEBSITE_CORRECTED,13028370683,Bryony Parker,,https://savia.vc,https://saviaventures.com/,savia.vc,savia.vc parked (GoDaddy for-sale via /lander). Savia Ventures climate VC lists Bryony Parker on homepage team; generic contact@saviaventures.com in privacy policy only.,https://savia.vc -> /lander [GoDaddy for-sale] | https://saviaventures.com/ [200],,
WEBSITE_OK,13028358405,Camilo Arango,,https://clicoh.com,https://clicoh.com,clicoh.com,Live operating company (clicOH logistics); seat is potential investor but no standalone VC marketing site found (Yarumo VC has no public site). URL matches primary public affiliation.,https://clicoh.com [200],,
WEBSITE_CORRECTED,13100506379,Camilo Kejner,Angel Ventures,https://angelventures.vc,https://www.angelventures.vc/,angelventures.vc,Mexico/LATAM angel network site live at www; /team lists Camilo Kejner. Generic infocolombia@angelventures.vc on team page only.,https://angelventures.vc -> https://www.angelventures.vc/ [200] | https://www.angelventures.vc/team [200],,
