Status,Monday_item_id,Name,Firm,Current_Website,Proposed_Website,Domain,Notes,Checked_URLs,Email,Source_URL
WEBSITE_OK,13028367167,Kärt Klein,,https://estvca.ee,,estvca.ee,HTTP 200; Estonian PE/VC association site matches Kärt Klein as EstVCA MD (investment-industry seat).,https://estvca.ee,,
WEBSITE_OK,13114435457,Lucas de la Vega,Actyus,https://actyus.com,,actyus.com,HTTP 200; Actyus venture debt / PE site; Lucas de La Vega listed on /equipo/.,https://actyus.com | https://actyus.com/equipo/,,
WEBSITE_CORRECTED,13028358136,Lucía Gaitán Sánchez,,https://gawa-capital.com,https://www.gawacapital.com/,gawacapital.com,gawa-capital.com NXDOMAIN; GAWA Capital Partners live on gawacapital.com (impact investment manager).,https://gawa-capital.com (NXDOMAIN) | https://www.gawacapital.com/ (200),,
WEBSITE_CORRECTED,12737016921,Maersk Growth,Maersk Growth,https://maersk.com,https://www.maersk.com/growth/,maersk.com,Parent shipping homepage is not the CVC unit; Maersk Growth publishes at /growth/.,https://maersk.com (timeout) | https://www.maersk.com/growth/ (verified live),,
WEBSITE_OK,13100502214,Maite Fibla Gasparin,Ship2B Ventures,https://ship2bventures.com,,ship2bventures.com,HTTP 200; VC firm site; Maite Fibla on /team (LinkedIn only; footer info@ generic).,https://ship2bventures.com | https://ship2bventures.com/team,,
WEBSITE_OK,13100503499,Marcus Behrendt,BMW i Ventures,https://bmwiventures.com,,bmwiventures.com,301 to https://www.bmwiventures.com/; team page lists Marcus Behrendt.,https://bmwiventures.com | https://www.bmwiventures.com/team,,
WEBSITE_CORRECTED,13100506305,Mark Crawford,Caterpillar Ventures,https://caterpillar.com,https://www.caterpillar.com/en/company/about-caterpillar/innovation/caterpillar-ventures.html,caterpillar.com,Corporate root is OEM; Caterpillar Ventures has dedicated innovation URL.,https://caterpillar.com (timeout) | https://www.caterpillar.com/en/company/about-caterpillar/innovation/caterpillar-ventures.html (verified live),,
WEBSITE_CORRECTED,13028372474,Matteo Scalabrino,,https://rockefellerfoundation.org,https://rfcatalytic.org/,rfcatalytic.org,Public role is RF Catalytic Capital (Rockefeller catalytic investing arm); foundation.org is parent org.,https://rockefellerfoundation.org (301→www 200) | https://rfcatalytic.org/ (200),,
WEBSITE_OK,13028397110,Mau Messina,,https://sf500.vc,,sf500.vc,HTTP 200; SF500 VC site; Mau Messina on /en/team/ (Venture Partner).,https://sf500.vc | https://sf500.vc/en/team/,,
WEBSITE_OK,13028367245,Michal Lasocki,,https://eecventures.com,,eecventures.com,HTTP 200; EEC Ventures team lists Michał Lasocki; contact page generic contact@ only.,https://eecventures.com | https://www.eecventures.com/en/eec-ventures/ | https://www.eecventures.com/en/contact/,,
WEBSITE_OK,13028372212,Miheer Chanrai,,https://climate.capital,,climate.capital,HTTP 200; Climate Capital investor site (matches LinkedIn climate.capital).,https://climate.capital | https://climate.capital/about,,
WEBSITE_OK,13100511303,Monica Saggioro Leal,Maya Capital,https://www.maya.capital/,,maya.capital,HTTP 200; Maya Capital VC; Monica Saggioro on /team (LinkedIn only).,https://www.maya.capital/ | https://www.maya.capital/team,,
WEBSITE_CORRECTED,13028366958,Nathalie Couët,,https://senecaimpact.com,https://senecaimpact.earth/,senecaimpact.earth,senecaimpact.com NXDOMAIN; Seneca Impact Advisors live on .earth. No Nathalie Couët on Seneca team page—possible CRM entity mismatch (public profile: Couët Strategic Advisors / angel).,https://senecaimpact.com (NXDOMAIN) | https://senecaimpact.earth/ (200) | https://senecaimpact.earth/about-us/the-team/ (no listing),,
WEBSITE_OK,13052203004,Netradyne (strategic / bolt-on),Netradyne (strategic / bolt-on),https://netradyne.com,,netradyne.com,301→www.netradyne.com; operating company site (strategic bolt-on seat).,https://netradyne.com | https://www.netradyne.com/,,
WEBSITE_OK,13028367182,Nic Gorini,,https://spin.vc,,spin.vc,HTTP 200; Spin Ventures Ltd.; Nic Gorini Founder & MP on /team/ (LinkedIn only).,https://spin.vc | https://spin.vc/team/,,
WEBSITE_CORRECTED,13100488906,Niccolò Camerana,Stellantis Ventures,https://stellantis.com,https://www.stellantis.ventures/,stellantis.ventures,stellantis.com is automaker corporate site; Stellantis Ventures team lists Niccolò Camerana.,https://stellantis.com (→stellantis.com/en 200) | https://www.stellantis.ventures/en/team (200),,
WEBSITE_OK,13028359863,Nina Alastruey,,https://demium.com,,demium.com,HTTP 200; demium.com serves Mission VC rebrand (Demium Capital SGEIC); Nina Alastruey Demium investment committee per public press/LinkedIn.,https://www.demium.com/ | https://missionfund.vc/ (200 alternate canonical),,
WEBSITE_OK,13080768999,Norfund,Norfund,https://norfund.no,,norfund.no,301→www.norfund.no; Norfund DFI homepage.,https://norfund.no | https://www.norfund.no/,,
WEBSITE_OK,13100506349,Pat Martin,Venture 53,https://venture53.com,,venture53.com,301→www.venture53.com; Pat Martin team profile; site generic info@ only.,https://venture53.com | https://www.venture53.com/team/pat-martin/,,
